2024-11-17 22:10:03,009 [Worker-7: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-11-17 22:46:39,963 [Worker-30: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/junit/junit/4.10/junit-4.10-sources.jar
2024-11-17 22:46:40,059 [Worker-30: Download sources and javadoc] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for junit:junit:4.10
2024-11-17 22:46:40,110 [Worker-30: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-core/1.1/hamcrest-core-1.1-sources.jar
2024-11-17 22:46:40,188 [Worker-30: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-core/1.1/hamcrest-core-1.1-sources.jar
2024-11-17 22:46:40,235 [Worker-30: Download sources and javadoc] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.hamcrest:hamcrest-core:1.1
2024-11-17 22:46:40,455 [Worker-32: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:46:40,455 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:46:40,455 [Worker-32: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:46:40,470 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:47:33,467 [Worker-32: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:47:33,483 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:47:33,483 [Worker-32: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:47:33,483 [Worker-32: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:48:28,151 [Worker-30: Creating project "socket-server"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:socket-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\socket-server\pom.xml.
2024-11-17 22:48:28,229 [Worker-30: Creating project "socket-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /socket-server/src/main/java
2024-11-17 22:48:28,229 [Worker-30: Creating project "socket-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /socket-server/src/main/resources
2024-11-17 22:48:28,229 [Worker-30: Creating project "socket-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /socket-server/src/test/java
2024-11-17 22:48:28,229 [Worker-30: Creating project "socket-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /socket-server/src/test/resources
2024-11-17 22:48:28,527 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:48:28,527 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:48:28,527 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:48:28,527 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:48:29,608 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:48:29,828 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:48:30,048 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:socket-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\socket-server\pom.xml.
2024-11-17 22:48:30,581 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:48:30,581 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
